county,precinct,registered_voters,ballots_cast,voter_turnout_percent
Oldham County,B102 - SOUTH GOSHEN INFORMATION,"1,146",361,31.5%
Oldham County,B104 - WEST BUCKNER INFORMATION,381,115,30.18%
Oldham County,B105 - NORTHEAST BUCKNER INFORMATION,"2,491",883,35.45%
Oldham County,B106 - COVERED BRIDGE INFORMATION,823,269,32.69%
Oldham County,C101 - COVINGTON INFORMATION,"1,025",393,38.34%
Oldham County,C102 - NORTH LAGRANGE INFORMATION,"1,518",604,39.79%
Oldham County,C103 - CENTRAL WEST INFORMATION,"1,250",443,35.44%
Oldham County,C105 - WESTPORT INFORMATION,"1,158",442,38.17%
Oldham County,C106 - CENTRAL EAST INFORMATION,960,235,24.48%
Oldham County,D101 - SOUTHEAST LAGRANGE INFORMATION,"2,000",621,31.05%
Oldham County,D103 - EAST BALLARDSVILLE INFORMATION,"1,996",688,34.47%
Oldham County,D104 - WEST BALLARDSVILLE INFORMATION,856,315,36.8%
Oldham County,D106 - MAIN INFORMATION,"1,901",493,25.93%
Oldham County,E101 - EAST WORTH INFORMATION,"1,672",511,30.56%
Oldham County,E102 - WEST WORTH INFORMATION,"1,982",710,35.82%
Oldham County,E103 - SOUTH PEWEE VALLEY INFORMATION,"1,065",320,30.05%
Oldham County,E104 - BERNARD INFORMATION,570,162,28.42%
Oldham County,E105 - WORTH INFORMATION,"1,902",628,33.02%
Oldham County,E106 - NORTHWOOD INFORMATION,325,110,33.85%
Oldham County,F101 - WEST LAGRANGE INFORMATION,"1,029",283,27.5%
Oldham County,F102 - EAST BUCKNER INFORMATION,"1,595",486,30.47%
Oldham County,F103 - GLENARM INFORMATION,"1,211",454,37.49%
Oldham County,F104 - CENTERFIELD INFORMATION,887,292,32.92%
Oldham County,F105 - SOUTH LAGRANGE INFORMATION,"1,864",478,25.64%
Oldham County,F106 - CARRIAGE HILL INFORMATION,311,129,41.48%
Oldham County,G101 - WEST BROWNSBORO INFORMATION,"2,597",635,24.45%
Oldham County,G102 - BRIAR HILL INFORMATION,"2,118",653,30.83%
Oldham County,G103 - NORTH 22 INFORMATION,"1,565",366,23.39%
Oldham County,G105 - CLORE INFORMATION,"1,144",286,25%
Oldham County,H101 - NORTH CRESTWOOD INFORMATION,"2,328",677,29.08%
Oldham County,H103 - NORTH PEWEE VALLEY INFORMATION,"1,427",489,34.27%
Oldham County,H104 - CRESTWOOD INFORMATION,"1,107",320,28.91%
Oldham County,H105 - EAST BROWNSBORO INFORMATION,"1,741",540,31.02%
Oldham County,H106 - SOUTH CRESTWOOD INFORMATION,124,32,25.81%
